# OS:        Windows 11 (22631) (x86_64)
# CPU:       Intel(R) Core(TM) i9-9900 CPU @ 3.10GHz (8 physical / 16 logical cores, 3096 MHz)
# RAM:       31.8 GiB
# toolchain: rustc 1.96.0 (ac68faa20 2026-05-25)
# fast-tiff-lib: 0.17.0 (path dependency)
# tiff (rust): 0.11 | TinyTIFF: vendored | libtiff: vendored
# libtiff:   LIBTIFF, Version 4.7.2 (vendored)
family,run,format,compression,predictor,strips,bigtiff,width,height,frames,reader,ok,reason,open_us,mean_us,min_us,total_read_ms,mb_s,rel,write_mb_s
"16x16 u16 none","16x16 u16 none / 100000 frames",u16,none,false,1,false,16,16,100000,tiff-rs,true,"",154.300,65.0465,3.9000,6691.9153,7.507,493.4203,246.7
"16x16 u16 none","16x16 u16 none / 100000 frames",u16,none,false,1,false,16,16,100000,tinytiff,true,"",162.000,9.9774,2.9000,1029.7052,48.939,75.6851,246.7
"16x16 u16 none","16x16 u16 none / 100000 frames",u16,none,false,1,false,16,16,100000,libtiff,true,"",156.600,12.7306,0.3000,1319.5589,38.355,96.5697,246.7
"16x16 u16 none","16x16 u16 none / 1000000 frames",u16,none,false,1,false,16,16,1000000,raw,true,"",76.900,1.5136,1.3000,1599.4099,322.595,11.3160,242.6
"16x16 u16 none","16x16 u16 none / 1000000 frames",u16,none,false,1,false,16,16,1000000,fast-tiff,true,"",188476.300,0.1338,0.0000,224.0148,3650.492,1.0000,242.6
"16x16 u16 none","16x16 u16 none / 1000000 frames",u16,none,false,1,false,16,16,1000000,fast-tiff-preload,true,"",197730.700,0.4429,0.4429,442.9498,1102.340,3.3116,242.6
"16x16 u16 none","16x16 u16 none / 1000000 frames",u16,none,false,1,false,16,16,1000000,tiff-rs,true,"",177.500,65.1562,2.6000,67034.5279,7.494,487.1216,242.6
"16x16 u16 none","16x16 u16 none / 1000000 frames",u16,none,false,1,false,16,16,1000000,tinytiff,true,"",211.600,9.9827,2.9000,10280.8690,48.913,74.6324,242.6
"16x16 u16 none","16x16 u16 none / 1000000 frames",u16,none,false,1,false,16,16,1000000,libtiff,true,"",182.500,12.7310,0.3000,13214.6646,38.354,95.1796,242.6
"256x256 u8 none","256x256 u8 none / 1 frames",u8,none,false,1,false,256,256,1,raw,true,"",42.300,17.1000,17.1000,0.0171,3654.971,3.0536,19.9
"256x256 u8 none","256x256 u8 none / 1 frames",u8,none,false,1,false,256,256,1,fast-tiff,true,"",46.200,40.3000,40.3000,0.0403,1550.868,7.1964,19.9
